stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:SACANI,,Canigou,,42.65262020,2.94506350,,,1,,0,
1:CACANO,,Canohès,,42.65158070,2.83176610,,,1,,0,
1:PECANT,,Canteroux,,42.67651230,2.89007790,,,1,,0,
1:LBCAPC,,Cap Coudalère,,42.81532330,3.02199760,,,1,,0,
1:RICAPR,,Cap Roussillon,,42.77560070,2.90882600,,,1,,0,
1:NASTNA,,Cap Sud,,42.66629020,2.98502790,,,1,,0,
1:CACAPU,,Capucines,,42.65705110,2.83499930,,,1,,0,
1:CACARA,,Caratg,,42.64251300,2.83604580,,,1,,0,
1:CACARI,,Carignans,,42.64932570,2.83559380,,,1,,0,
1:VSCARX,,Carxofe,,42.72636020,2.97510840,,,1,,0,
1:SACASE,,Casenobe,,42.65295220,2.94965390,,,1,,0,
1:CPCASP,,Cases-de-Pène,,42.77886010,2.78995630,,,1,,0,
1:CGCASS,,Cassagnes,,42.73929590,2.61143950,,,1,,0,
1:PECASS,,Cassanyes,,42.69772720,2.90414080,,,1,,0,
1:PYCASS,,Cassanyes,,42.75471500,2.85467550,,,1,,0,
1:PECSIN,,Cassin,,42.68123570,2.89508980,,,1,,0,
1:PECAST,,Castillet,,42.70097560,2.89395690,,,1,,0,
1:PECBRA,,Catalogne Brasserie,,42.69926790,2.88853340,,,1,,0,
1:PECJVI,,Catalogne J. Violet,,42.69810490,2.88813140,,,1,,0,
1:PECPTC,,Catalogne Pt Chaud,,42.69819250,2.88880090,,,1,,0,
1:PECSUL,,Catalogne rue Sully,,42.69809340,2.88924960,,,1,,0,
1:POCAVE,,Cave,,42.63825120,2.87357500,,,1,,0,
1:BXCAYR,,Cayrol,,42.75154820,2.81145000,,,1,,0,
1:PZCENT,,Centrale d'Achat,,42.69929500,2.77699300,,,1,,0,
1:POCENT,,Centre Ancien,,42.63699780,2.86788060,,,1,,0,
1:BOCCOM,,Centre Commercial,,42.72152360,2.93257210,,,1,,0,
1:RICCOM,,Centre Commercial,,42.77518450,2.91573420,,,1,,0,
1:PZCCUL,,Centre Culturel,,42.69585220,2.76889180,,,1,,0,
1:TACENT,,Centre de Vacances,,42.81779060,2.74141950,,,1,,0,
1:RACERD,,Cerdagne,,42.63543890,2.91991130,,,1,,0,
1:SARESI,,Cerdagne,,42.65682480,2.92904830,,,1,,0,
1:RACIME,,Chapelle,,42.63421060,2.92090510,,,1,,0,
1:BOCHAR,,Charrette,,42.72165100,2.92885650,,,1,,0,
1:SOCHAT,,Chateaubriand,,42.68145370,2.79140780,,,1,,0,
1:PECHAU,,Chauvet,,42.68889050,2.90374480,,,1,,0,
1:PECHEF,,Chefdebien,,42.68327330,2.88531660,,,1,,0,
1:EACHEM,,Chemin d'Estagel,,42.77515410,2.83663150,,,1,,0,
1:PECHEV,,Chevreul,,42.69193270,2.90398180,,,1,,0,
1:PECHOC,,Chocolaterie,,42.67931750,2.85430840,,,1,,0,
1:RICHRE,,Chrétien,,42.77447510,2.91038930,,,1,,0,
1:POCHAT,,Château d'Eau,,42.63812870,2.86666340,,,1,,0,
1:PECHAT,,Château Roussillon,,42.70405200,2.94447460,,,1,,0,
1:SOCHEN,,Chênes Verts,,42.68134110,2.78491600,,,1,,0,
1:BOCIME,,Cimetière,,42.73448570,2.93655590,,,1,,0,
1:ESCIME,,Cimetière,,42.70943640,2.84974340,,,1,,0,
1:PECIMS,,Cimetière Sud,,42.66492490,2.86606740,,,1,,0,
1:PECITA,,Citadelle,,42.69393540,2.89303150,,,1,,0,
1:CNCITO,,Citoyen,,42.70474620,3.01192210,,,1,,0,
1:PECSTA,,Cité St-Assiscle,,42.68989180,2.86773060,,,1,,0,
1:PECITE,,Cité Universitaire,,42.67906000,2.90021680,,,1,,0,
1:TOCLAI,,Clairfont,,42.66576380,2.83713420,,,1,,0,
1:PECLAU,,Claude Bernard,,42.70413780,2.90250560,,,1,,0,
1:PECSIM,,Claude Simon,,42.69935030,2.94294000,,,1,,0,
1:LSCLEM,,Clemenceau,,42.76818270,2.98183060,,,1,,0,
1:PECLEM,,Clemenceau,,42.70038050,2.88998620,,,1,,0,
1:PECMUT,,Clinique Mutualiste,,42.72705320,2.87673900,,,1,,0,
1:ESCLIN,,Cliniques,,42.72138590,2.84762880,,,1,,0,
1:PECLOD,,Clodion,,42.70219420,2.88258920,,,1,,0,
1:PECBAN,,Clos-Banet,,42.69891100,2.92949070,,,1,,0,
1:PECOLI,,Collioure,,42.68399050,2.90914650,,,1,,0,
1:CNCOLL,,Collège,,42.70600890,2.99834030,,,1,,0,
1:ESCOLL,,Collège,,42.70784370,2.84138540,,,1,,0,
1:ELCOLL,,Collège Estagel,,42.77079370,2.69518550,,,1,,0,
1:RICOLL,,Collège Joffre,,42.76717580,2.87904090,,,1,,0,
1:TOCOLL,,Collège Mitterrand,,42.66593550,2.84124450,,,1,,0,
1:PECOLL,,Collège Pons,,42.71646690,2.88879960,,,1,,0,
1:CACOLO,,Colomina,,42.66357040,2.84417060,,,1,,0,
1:ESCONF,,Conflent,,42.71175950,2.83270240,,,1,,0,
1:PECONF,,Conflent,,42.69885440,2.87779960,,,1,,0,
1:POCONS,,Constellations,,42.63235330,2.86952410,,,1,,0,
1:PECOQU,,Coquelicots,,42.70173830,2.90456510,,,1,,0,
1:CNCOQU,,Coquillages,,42.68430140,3.03112910,,,1,,0,
1:LBCORB,,Corbières,,42.78547670,3.03416750,,,1,,0,
1:PECORV,,Corvisart,,42.66600030,2.89048730,,,1,,0,
1:PECOST,,Costa Brava,,42.66134260,2.88014510,,,1,,0,
1:LBCOUD,,Coudalère,,42.81509200,3.02904000,,,1,,0,
1:CNCROI,,Croix du sud,,42.68897240,3.03218280,,,1,,0,
1:SACROU,,Crouettes,,42.65866270,2.95007670,,,1,,0,
1:PECERE,,Céret,,42.68535090,2.90527840,,,1,,0,
1:CNCOTE,,Côte-Radieuse,,42.67939370,3.03174760,,,1,,0,
1:PECOTE,,Côte-Radieuse,,42.67486950,2.90477960,,,1,,0,
1:PEDAHL,,Dahlias,,42.70451900,2.90527440,,,1,,0,
1:PEDALB,,Dalbiez,,42.68567460,2.88209250,,,1,,0,
1:CYDGAU,,De Gaulle,,42.68397510,2.94234240,,,1,,0,
1:PEDEGA,,Degas,,42.69233700,2.91233290,,,1,,0,
1:LSDELA,,Delacroix,,42.77539420,2.98542270,,,1,,0,
1:PEDEPE,,Depéret,,42.67622370,2.88070870,,,1,,0,
1:PEDERA,,Derain,,42.71845050,2.89540470,,,1,,0,
1:PEDESN,,Desnoyés,,42.71122160,2.88459070,,,1,,0,
1:PEDESP,,Desprès,,42.70893280,2.88579730,,,1,,0,
1:PEDIDE,,Diderot,,42.70290500,2.90800320,,,1,,0,
1:PEDIOC,,Diocèse,,42.68906970,2.84279980,,,1,,0,
1:PODISC,,Discobole,,42.64347090,2.86686050,,,1,,0,
1:PEDOMB,,Dombasle,,42.68826480,2.87467600,,,1,,0,
1:PEDONS,,Don du Sang,,42.72539870,2.89204790,,,1,,0,
1:PEDONN,,Donnezan,,42.67329020,2.88450930,,,1,,0,
1:ESDRHO,,Droits de l'Homme,,42.71056940,2.85715640,,,1,,0,
1:PEDUCU,,Ducup,,42.69020080,2.83550040,,,1,,0,
1:EADUVE,,Duverney,,42.77323720,2.84105480,,,1,,0,
